0.007761, 0
0.007834, 0
0.009157, 0
0.012572, 0
0.012607, 0
0.012639, 0
0.016265, 10688
0.016395, 10688
0.016493, 10688
0.019577, 22976
0.019872, 22976
0.019916, 22976
0.023584, 34240
0.023603, 34240
0.023829, 34240
0.030431, 45824
0.030681, 45824
0.030914, 45824
0.032800, 58688
0.032811, 58688
0.032820, 58688
0.037559, 69696
0.037609, 69696
0.037661, 69696
0.037663, 69696
0.041682, 80960
0.041716, 80960
0.041721, 80960
0.046893, 91484
0.046931, 91484
0.046974, 91484
0.046977, 91484
0.051554, 103260
0.051586, 103260
0.051588, 103260
0.051591, 103260
0.056175, 116444
0.056202, 116444
0.056224, 116444
0.061189, 126684
0.061191, 126684
0.065656, 138844
0.065729, 138844
0.065809, 138844
0.068799, 151132
0.068916, 151132
0.068922, 151132
0.073366, 162396
0.073368, 162396
0.078165, 173724
0.078253, 173724
0.082124, 186460
0.082161, 186460
0.082170, 186460
0.082174, 186460
0.087073, 176556
0.087470, 173028
0.087529, 171264
0.091854, 138172
0.091855, 138172
0.094359, 120344
0.094394, 120344
0.094396, 120344
0.099870, 80452
0.099917, 80452
0.099923, 80452
0.103155, 83920
0.103156, 83920
0.108478, 82032
0.108581, 82032
0.108587, 82032
0.113094, 83672
0.113115, 81908
0.113127, 81908
0.120917, 73512
0.120921, 73512
0.120923, 73512
0.122928, 78460
0.122941, 78460
0.122949, 78460
0.122951, 78460
0.127664, 79424
0.127712, 79424
0.127765, 77660
0.130042, 83888
0.130293, 83888
0.135149, 81296
0.135156, 81296
0.135166, 81296
0.140606, 78448
0.140638, 78448
0.140667, 78448
0.140668, 78448
0.143897, 81404
0.144171, 81404
0.144421, 81404
0.148479, 80448
0.148485, 80448
0.148499, 80448
0.153670, 81412
0.153752, 81412
0.153815, 79648
0.157191, 82732
0.157440, 82732
0.157581, 82732
0.160859, 82872
0.160875, 82872
0.160887, 82872
0.164658, 82784
0.164717, 82784
0.164774, 82784
0.164778, 82784
0.170522, 78684
0.170583, 78684
0.170588, 78684
0.174939, 80772
0.174966, 80772
0.174986, 80772
0.179913, 79716
0.179916, 79716
0.179920, 79716
0.185025, 80424
0.185040, 80424
0.185055, 80424
0.187978, 84020
0.188023, 84020
0.188067, 84020
0.193690, 81108
0.193730, 81108
0.193804, 79344
0.196583, 83360
0.196588, 83360
0.196592, 83360
0.201197, 81892
0.201238, 81892
0.201264, 81892
